Id,Title,CCLI,Themes,Notes,Last Scheduled Date,Genre,Mood,Purpose,Themes,Arrangement 1 Name,Arrangement 1 BPM,Arrangement 1 Length,Arrangement 1 Notes,Arrangement 1 Keys,Arrangement 2 Name,Arrangement 2 BPM,Arrangement 2 Length,Arrangement 2 Notes,Arrangement 2 Keys
12593023,G015 - Good Good Father,7036612,"","","June 29, 2017",Contemporary,Adoration,"","God's Faithfulness, God's Love & as Father",G015 - Good Good Father,142,0,"","G, E",,,,
12603147,G016 - Grace Flows Down,1223050,"","",,Contemporary,Reflection & Prayer,Communion,"Jesus' Life, Death, & Resurrection",Default Arrangement,,0,"",E,,,,
12603207,G017 - Grace So Glorious,7011444,"","","April 14, 2017",Contemporary,Declarative,"","Jesus' Life, Death, & Resurrection",Default Arrangement,,0,"","C, F: Michelle's Key",,,,
12600271,G018 - Great Are You Lord,6460220,"","","August 28, 2017",Contemporary,Desperation & Dependence,"","God's Greatness, Power, Glory",G018 - Great Are You Lord,140.5,0,"","G, A",,,,
12603252,G019 - Great Great God,6028253,"","","July 30, 2017",Contemporary,Declarative,"","God's Greatness, Power, Glory, God's Kingdom & Reign",G019 - Great Great God,142.7,0,"",A,,,,
12603271,G020 - Great I Am,5881491,"","",,Contemporary,Declarative,"","God's Greatness, Power, Glory, God's Kingdom & Reign",Default Arrangement,,0,"",D,,,,
12603317,G021 - Great Is The Lord,10769,"","","June 29, 2017",Contemporary,Adoration,"","",G021 - Great Is The Lord,74.1,0,"",A,,,,
12603338,G022 - Great Is Thy Faithfulness,18723,"","","April 30, 2017",Traditional,"",Offering,"God's Greatness, Power, Glory, Trust",G022 - Great Is Thy Faithfulness,151,0,"","D, C",,,,
12603361,G023 - Greater,7030449,"","","July 27, 2017",Contemporary,Declarative,"","God's Greatness, Power, Glory",G023 - Greater,148,0,"",G,,,,
12677803,G024 - Glorious,6231507,"","","March 12, 2017",Gospel,Celebratory,"","God's Greatness, Power, Glory",With Tag,147,0,"","F, G",Without Tag,146,0,"","F, G"
